playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,marksInside50 W Mean,marksInside50 Scalar,rebound50s W Mean,rebound50s Scalar,bounces W Mean,bounces Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Jake Soligo,10.98,32.94,29.7,11.24,22.48,83.33,3.15,9.45,-18.79,3.67,14.68,35.57,1.24,1.24,47.44,1.35,-4.05,71.76,0.27,1.62,-63.71,0.35,0.35,-30.14,22.22,52.22,13.02,45.77,9.55,70.69,0.0,-100.0,3.15,-8.32,3.71,156.93,3.18,31.08,0.16,-78.72,1.24,23.88,0.35,86.17,289.38,24.24,59.24,-4.72,0.13,-68.6,1.54,87.12,78.75,9.09,21.58,78.71
Jake Stein,5.5,16.5,-35.03,6.0,12.0,-2.14,2.0,6.0,-48.44,2.5,10.0,-7.65,2.0,2.0,137.81,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,11.5,-21.22,7.0,-21.63,5.0,-10.63,0.5,12.61,1.5,-56.34,0.5,-65.37,1.5,-38.17,0.5,-33.51,2.0,99.8,0.0,-100.0,172.0,-26.15,78.55,26.33,0.0,-100.0,0.5,-39.25,46.5,-0.0,-28.21,46.5
Jake Stringer,9.29,27.87,9.73,3.93,7.86,-35.9,4.33,12.99,11.63,2.78,11.12,2.7,0.35,0.35,-58.38,1.04,-3.12,32.32,2.04,12.24,174.19,0.91,0.91,81.64,13.22,-9.43,7.94,-11.11,5.74,2.59,0.43,-3.15,3.89,13.21,2.19,51.66,3.53,45.51,2.13,183.24,0.23,-77.02,0.0,-100.0,301.81,29.58,55.73,-10.37,0.9,117.39,0.91,10.57,70.21,6.16,8.39,70.22
Jake Waterman,11.28,33.84,33.24,3.22,6.44,-47.48,8.51,25.53,119.39,0.39,1.56,-85.59,0.16,0.16,-80.98,0.13,-0.39,-83.46,1.48,8.88,98.92,2.66,2.66,430.94,14.51,-0.6,11.29,26.4,3.2,-42.81,0.49,10.36,8.02,133.41,0.08,-94.46,1.97,-18.8,3.63,382.71,0.55,-45.05,0.0,-100.0,331.5,42.33,64.65,3.98,2.69,549.76,0.92,11.79,79.19,9.05,22.26,78.68
Jamaine Jones,8.2,24.6,-3.14,4.15,8.3,-32.31,4.82,14.46,24.26,2.84,11.36,4.91,1.44,1.44,71.22,0.59,-1.77,-24.94,0.14,0.84,-81.18,0.28,0.28,-44.11,12.35,-15.39,7.89,-11.67,4.68,-16.35,0.0,-100.0,4.82,40.28,0.62,-57.06,1.18,-51.36,0.07,-90.69,0.31,-69.03,1.19,532.98,132.54,-43.1,70.28,13.03,1.18,185.02,0.64,-22.24,59.49,-2.92,-8.16,59.51
Jamarra Ugle-Hagan,10.08,30.24,19.06,2.97,5.94,-51.56,4.15,12.45,6.99,2.0,8.0,-26.12,0.73,0.73,-13.2,0.84,-2.52,6.87,2.11,12.66,183.6,2.28,2.28,355.09,13.06,-10.53,7.1,-20.51,6.38,14.03,1.54,246.85,2.61,-24.04,0.28,-80.61,3.13,29.02,2.58,243.09,0.0,-100.0,0.01,-94.68,280.15,20.28,37.77,-39.25,0.91,119.81,0.71,-13.73,69.87,19.67,7.87,69.78
James Aish,13.33,39.99,57.45,9.0,18.0,46.79,4.0,12.0,3.12,4.67,18.68,72.52,2.33,2.33,177.05,1.33,-3.99,69.21,0.0,0.0,-100.0,0.33,0.33,-34.13,22.33,52.98,15.0,67.94,7.33,31.01,0.0,-100.0,4.0,16.41,3.33,130.61,4.0,64.88,0.0,-100.0,3.0,199.7,0.33,75.53,392.33,68.44,60.07,-3.39,0.0,-100.0,1.0,21.51,87.33,-0.0,34.82,87.34
James Bell,7.33,21.99,-13.42,2.0,4.0,-67.38,3.33,9.99,-14.15,2.33,9.32,-13.93,1.0,1.0,18.91,0.0,-0.0,-100.0,1.33,7.98,78.76,0.67,0.67,33.73,9.33,-36.08,5.33,-40.33,4.67,-16.53,0.67,50.9,2.67,-22.29,0.0,-100.0,1.67,-31.16,0.0,-100.0,0.67,-33.07,0.0,-100.0,136.0,-41.61,65.7,5.67,0.33,-20.29,0.33,-59.9,55.0,-0.0,-15.09,54.95
James Harmes,9.0,27.0,6.31,11.0,22.0,79.42,2.0,6.0,-48.44,6.0,24.0,121.65,1.0,1.0,18.91,2.0,-6.0,154.45,0.0,0.0,-100.0,0.0,0.0,-100.0,20.0,37.01,14.0,56.74,8.0,42.98,0.0,-100.0,2.0,-41.79,3.0,107.76,5.0,106.1,0.0,-100.0,0.0,-100.0,0.0,-100.0,227.0,-2.54,33.3,-46.44,0.0,-100.0,1.0,21.51,74.0,-0.0,14.25,74.0
James Jordon,6.43,19.29,-24.05,7.65,15.3,24.78,2.43,7.29,-37.35,2.93,11.72,8.24,0.43,0.43,-48.87,0.57,-1.71,-27.48,0.36,2.16,-51.61,0.71,0.71,41.72,14.07,-3.61,9.43,5.58,4.71,-15.82,0.15,-66.22,2.29,-33.35,1.5,3.88,2.65,9.23,0.43,-42.82,0.57,-43.06,0.0,-100.0,199.78,-14.23,65.32,5.05,0.07,-83.09,0.5,-39.25,55.14,15.38,-14.87,55.19
