playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.kickins W Mean,extendedStats.kickins Scalar,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
David Swallow,12.0,36.0,17.26,4.0,8.0,-26.13,6.0,18.0,20.02,1.0,4.0,-50.47,0.0,0.0,-100.0,2.0,-6.0,204.88,0.0,0.0,-100.0,0.0,0.0,-100.0,16.0,2.24,11.0,12.95,4.0,-18.1,1.0,76.37,5.0,12.84,0.0,-100.0,5.0,237.38,62.5,-21.47,2.0,-35.84,347.0,31.18,75.0,-1.31,1.0,-29.48,0.0,-100.0,0.0,-100.0,0.0,-100.0,60.0,-0.0,-6.89,60.0
Dougal Howard,8.7,26.1,-14.99,4.11,8.22,-24.1,6.95,20.85,39.03,0.77,3.08,-61.86,0.64,0.64,-2.59,0.79,-2.37,20.43,0.0,0.0,-100.0,0.01,0.01,-92.19,12.81,-18.14,9.09,-6.66,3.7,-24.24,0.78,37.57,6.16,39.02,0.16,-75.35,0.43,-70.99,86.06,8.13,2.61,-16.27,153.68,-41.9,85.68,12.75,1.85,30.47,0.73,-26.26,0.23,-79.68,0.14,-86.01,56.5,6.7,-12.32,56.53
Dylan Grimes,5.22,15.66,-48.99,4.65,9.3,-14.13,2.93,8.79,-41.39,1.23,4.92,-39.08,0.2,0.2,-69.56,1.82,-5.46,177.44,0.0,0.0,-100.0,0.0,0.0,-100.0,9.87,-36.93,6.49,-33.36,2.45,-49.84,0.08,-85.89,2.85,-35.68,0.02,-96.92,0.1,-93.25,96.08,20.72,0.3,-90.38,46.96,-82.25,94.92,24.91,1.08,-23.84,1.79,80.81,0.04,-96.47,0.03,-97.0,33.41,-13.96,-48.15,33.41
Dyson Heppell,12.97,38.91,26.73,8.2,16.4,51.43,7.69,23.07,53.83,0.26,1.04,-87.12,0.2,0.2,-69.56,0.17,-0.51,-74.09,0.0,0.0,-100.0,0.0,0.0,-100.0,21.17,35.28,15.37,57.82,4.94,1.15,0.03,-94.71,7.66,72.87,0.06,-90.76,1.23,-17.0,84.44,6.1,4.74,52.07,333.89,26.22,82.78,8.93,1.0,-29.48,0.11,-88.89,1.86,64.31,0.97,-3.1,79.09,-0.26,22.74,79.11
Eddie Ford,8.0,24.0,-21.83,13.0,26.0,140.07,4.0,12.0,-19.98,3.0,12.0,48.59,1.0,1.0,52.21,1.0,-3.0,52.44,1.0,6.0,629.93,0.0,0.0,-100.0,21.0,34.19,14.0,43.75,7.0,43.33,0.0,-100.0,4.0,-9.73,1.0,54.08,5.0,237.38,85.7,7.68,3.0,-3.75,319.0,20.59,87.5,15.14,0.0,-100.0,1.0,1.01,0.0,-100.0,0.0,-100.0,78.0,-0.0,21.05,78.0
Elliot Yeo,11.57,34.71,13.05,3.29,6.58,-39.24,5.29,15.87,5.82,2.57,10.28,27.29,0.86,0.86,30.9,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,14.86,-5.04,8.14,-16.42,4.0,-18.1,0.86,51.68,4.43,-0.02,0.0,-100.0,0.0,-100.0,92.21,15.86,4.86,55.92,320.0,20.97,89.71,18.05,1.86,31.17,2.57,159.6,3.71,227.74,2.86,185.71,68.29,20.87,5.98,68.3
Emerson Jeka,12.0,36.0,17.26,4.0,8.0,-26.13,7.0,21.0,40.03,0.0,0.0,-100.0,0.0,0.0,-100.0,1.0,-3.0,52.44,0.0,0.0,-100.0,0.0,0.0,-100.0,16.0,2.24,12.0,23.22,4.0,-18.1,2.0,252.73,5.0,12.84,0.0,-100.0,1.0,-32.52,68.8,-13.55,3.0,-3.75,267.0,0.94,58.3,-23.28,3.0,111.57,0.0,-100.0,0.0,-100.0,0.0,-100.0,62.0,-0.0,-3.78,62.0
Esava Ratugolea,7.31,21.93,-28.57,3.06,6.12,-43.49,5.95,17.85,19.02,2.84,11.36,40.66,0.97,0.97,47.64,0.65,-1.95,-0.91,0.0,0.0,-100.0,0.0,0.0,-100.0,10.38,-33.67,4.52,-53.59,5.81,18.96,2.54,347.97,3.41,-23.04,0.3,-53.78,0.39,-73.68,90.68,13.94,2.06,-33.91,123.3,-53.39,87.34,14.93,3.62,155.29,1.54,55.56,0.0,-100.0,0.0,-100.0,56.35,2.98,-12.55,56.28
Ethan Hughes,7.0,21.0,-31.6,4.0,8.0,-26.13,5.0,15.0,0.02,3.0,12.0,48.59,0.5,0.5,-23.9,0.5,-1.5,-23.78,0.0,0.0,-100.0,0.0,0.0,-100.0,11.0,-29.71,8.5,-12.72,3.5,-28.34,0.5,-11.82,4.5,1.56,0.5,-22.96,1.0,-32.52,82.5,3.66,1.0,-67.92,167.5,-36.68,73.35,-3.48,0.5,-64.74,0.0,-100.0,0.0,-100.0,0.0,-100.0,55.0,-0.0,-14.65,55.0
Ethan Phillips,6.0,18.0,-41.37,4.0,8.0,-26.13,3.0,9.0,-39.99,1.0,4.0,-50.47,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,10.0,-36.1,6.0,-38.39,4.0,-18.1,0.0,-100.0,3.0,-32.3,0.0,-100.0,0.0,-100.0,100.0,25.65,1.0,-67.92,44.0,-83.37,100.0,31.59,3.0,111.57,1.0,1.01,0.0,-100.0,0.0,-100.0,39.0,-0.0,-39.48,39.0
George Wardlaw,12.0,36.0,17.26,4.0,8.0,-26.13,4.0,12.0,-19.98,3.0,12.0,48.59,3.0,3.0,356.62,1.0,-3.0,52.44,0.0,0.0,-100.0,0.0,0.0,-100.0,16.0,2.24,11.0,12.95,5.0,2.38,0.0,-100.0,4.0,-9.73,3.0,362.25,2.0,34.95,56.3,-29.26,1.0,-67.92,253.0,-4.36,58.3,-23.28,0.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,68.0,-0.0,5.53,68.0
Griffin Logue,8.09,24.27,-20.95,6.15,12.3,13.57,5.91,17.73,18.22,1.29,5.16,-36.11,0.38,0.38,-42.16,0.57,-1.71,-13.11,0.0,0.0,-100.0,0.0,0.0,-100.0,14.24,-9.0,9.33,-4.2,5.09,4.22,1.19,109.88,4.71,6.3,0.09,-86.13,0.28,-81.11,79.32,-0.33,4.0,28.33,133.43,-49.56,81.43,7.15,3.29,132.02,0.67,-32.32,0.09,-92.05,0.0,-100.0,58.1,-12.49,-9.83,58.13
Harris Andrews,9.99,29.97,-2.38,3.69,7.38,-31.86,7.75,23.25,55.03,1.4,5.6,-30.66,0.82,0.82,24.81,0.79,-2.37,20.43,0.01,0.06,-92.7,0.0,0.0,-100.0,13.68,-12.58,8.61,-11.59,4.89,0.12,1.96,245.68,5.79,30.67,0.1,-84.59,0.46,-68.96,88.67,11.41,2.99,-4.07,173.62,-34.37,88.74,16.77,3.84,170.8,1.48,49.49,0.26,-77.03,0.14,-86.01,64.68,-0.49,0.38,64.71
