playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,marksInside50 W Mean,marksInside50 Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,goalAssists W Mean,goalAssists Scalar,tacklesInside50 W Mean,tacklesInside50 Scalar,metresGained W Mean,metresGained Scalar,extendedStats.groundBallGets W Mean,extendedStats.groundBallGets Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.centreBounceAttendances W Mean,extendedStats.centreBounceAttendances Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Jack Higgins,11.0,33.0,8.31,5.0,10.0,-40.98,5.0,15.0,36.76,4.0,16.0,14.16,2.0,2.0,118.34,0.0,-0.0,-100.0,4.0,24.0,807.03,2.0,2.0,443.48,16.0,-14.1,10.0,-11.26,4.0,-45.73,0.0,-100.0,5.0,45.86,1.0,-64.83,2.0,-33.88,4.0,936.27,68.8,-2.66,0.0,-100.0,0.0,-100.0,2.0,287.6,306.0,6.63,2.0,-61.76,1.0,-12.66,0.0,-100.0,102.0,-0.0,37.41,102.0
Jack Macrae,14.26,42.78,40.41,15.3,30.6,80.62,5.48,16.44,49.89,6.41,25.64,82.93,1.89,1.89,106.33,0.07,-0.21,-91.77,0.84,5.04,90.48,0.01,0.01,-97.28,29.56,58.69,18.82,67.01,10.01,35.82,0.0,-100.0,5.48,59.86,4.82,69.54,4.08,34.88,0.01,-97.41,79.41,12.35,1.16,-20.87,0.11,-73.43,1.73,235.27,267.29,-6.86,6.15,17.59,3.44,200.44,10.34,9.73,122.19,16.03,64.61,122.19
Jack Mahony,12.0,36.0,18.16,6.0,12.0,-29.17,5.0,15.0,36.76,1.0,4.0,-71.46,1.0,1.0,9.17,2.0,-6.0,135.02,0.0,0.0,-100.0,0.0,0.0,-100.0,18.0,-3.37,13.0,15.36,7.0,-5.02,0.0,-100.0,5.0,45.86,4.0,40.7,3.0,-0.83,1.0,159.07,72.2,2.15,2.0,36.43,0.0,-100.0,0.0,-100.0,294.0,2.45,5.0,-4.4,1.0,-12.66,0.0,-100.0,62.0,-0.0,-16.48,62.0
Jack Petruccelle,8.0,24.0,-21.23,3.29,6.58,-61.16,2.14,6.42,-41.47,1.14,4.56,-67.47,0.0,0.0,-100.0,0.86,-2.58,1.06,1.86,11.16,321.77,1.0,1.0,171.74,11.29,-39.39,7.0,-37.88,4.14,-43.83,0.0,-100.0,2.14,-37.57,2.14,-24.73,2.14,-29.26,0.0,-100.0,72.2,2.15,0.14,-90.45,0.14,-66.18,0.86,66.67,267.14,-6.91,3.29,-37.09,1.0,-12.66,6.0,-36.33,51.14,-5.3,-31.11,51.14
Jack Redden,11.25,33.75,10.77,10.92,21.84,28.91,5.58,16.74,52.63,5.5,22.0,56.96,1.5,1.5,63.76,0.83,-2.49,-2.47,0.33,1.98,-25.17,0.0,0.0,-100.0,22.17,19.02,14.33,27.16,8.17,10.85,0.08,-64.91,5.5,60.44,3.75,31.9,1.42,-53.06,0.08,-79.27,79.02,11.8,1.92,30.97,0.33,-20.29,0.08,-84.5,203.0,-29.26,5.5,5.16,1.42,24.02,16.33,73.3,95.33,-0.0,28.42,95.32
Jack Ross,8.79,26.37,-13.45,13.79,27.58,62.79,4.07,12.21,11.32,1.29,5.16,-63.18,0.86,0.86,-6.11,0.21,-0.63,-75.32,0.0,0.0,-100.0,0.0,0.0,-100.0,22.57,21.17,11.93,5.87,11.71,58.89,0.0,-100.0,4.07,18.73,3.57,25.57,2.07,-31.57,0.0,-100.0,83.16,17.66,1.07,-27.01,0.0,-100.0,0.14,-72.87,381.57,32.97,9.0,72.08,1.0,-12.66,10.64,12.92,71.5,9.58,-3.68,71.55
Jack Scrimshaw,13.0,39.0,28.0,13.0,26.0,53.46,12.0,36.0,228.23,1.0,4.0,-71.46,0.0,0.0,-100.0,1.0,-3.0,17.51,0.0,0.0,-100.0,0.0,0.0,-100.0,26.0,39.58,15.0,33.11,10.0,35.69,3.0,1215.79,9.0,162.54,1.0,-64.83,0.0,-100.0,0.0,-100.0,88.5,25.22,5.0,241.06,0.0,-100.0,0.0,-100.0,203.0,-29.26,7.0,33.84,3.0,162.01,0.0,-100.0,102.0,-0.0,37.41,102.0
Jack Sinclair,17.53,52.59,72.61,10.85,21.7,28.08,5.43,16.29,48.52,2.05,8.2,-41.5,0.95,0.95,3.71,0.0,-0.0,-100.0,0.38,2.28,-13.83,0.1,0.1,-72.83,28.38,52.36,16.5,46.42,10.23,38.81,0.0,-100.0,5.43,58.4,3.43,20.65,2.38,-21.32,0.38,-1.55,71.74,1.5,3.99,172.17,0.36,-13.04,0.17,-67.05,405.0,41.13,7.76,48.37,1.77,54.59,11.67,23.85,102.14,-0.04,37.6,102.11
Jack Steele,11.21,33.63,10.38,12.91,25.82,52.4,5.45,16.35,49.07,7.35,29.4,109.76,1.19,1.19,29.91,1.01,-3.03,18.68,0.33,1.98,-25.17,0.17,0.17,-53.8,24.12,29.49,13.64,21.04,10.78,46.27,0.13,-42.98,5.31,54.9,4.93,73.41,3.9,28.93,0.42,8.81,74.77,5.79,1.54,5.05,0.54,30.43,0.71,37.6,311.19,8.44,7.33,40.15,1.44,25.76,21.35,126.57,105.48,0.42,42.1,105.51
Jack Viney,11.29,33.87,11.17,10.12,20.24,19.47,2.77,8.31,-24.23,6.22,24.88,77.51,1.35,1.35,47.38,0.8,-2.4,-5.99,0.34,2.04,-22.9,0.19,0.19,-48.37,21.41,14.94,11.46,1.69,10.34,40.3,0.1,-56.14,2.68,-21.82,4.63,62.86,4.53,49.75,0.33,-14.51,59.62,-15.65,1.4,-4.5,0.68,64.25,0.91,76.36,342.19,19.24,6.78,29.64,1.11,-3.06,18.04,91.45,88.5,-5.68,19.22,88.48
