,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Western Bulldogs,Round 1,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.39,80.67,-32.2,56.0
Melbourne,Round 2,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-6.98,88.8,0.0,0.0
Adelaide Crows,Round 3,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.95,84.24,-31.38,56.67
Sydney Swans,Round 4,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,0.7,82.03,13.82,94.0
Gold Coast SUNS,Round 5,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,3.18,80.05,-40.67,49.0
Carlton,Round 6,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.22,81.6,-37.04,52.0
Port Adelaide,Round 7,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,12.38,73.5,0.0,0.0
Essendon,Round 8,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,0.43,82.25,-4.35,79.0
Brisbane Lions,Round 9,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,7.97,76.5,8.97,90.0
Richmond,Round 10,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-12.83,94.76,-16.45,69.0
Collingwood,Round 11,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-2.35,84.59,-24.93,62.0
West Coast Eagles,Round 13,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-8.26,90.03,-53.99,38.0
Fremantle,Round 14,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.56,80.54,-28.56,59.0
Carlton,Round 15,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.22,81.6,-37.04,52.0
Hawthorn,Round 16,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,8.89,75.86,-57.62,35.0
Western Bulldogs,Round 17,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.39,80.67,-32.2,56.0
Melbourne,Round 18,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-6.98,88.8,0.0,0.0
Sydney Swans,Round 19,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,0.7,82.03,13.82,94.0
Geelong Cats,Round 20,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-6.82,88.65,36.82,113.0
St Kilda,Round 21,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,5.08,78.6,15.63,95.5
GWS GIANTS,Round 22,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,2.01,80.97,-3.54,79.67
Richmond,Round 23,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-12.83,94.76,-16.45,69.0
Adelaide Crows,Round 24,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.95,84.24,-31.38,56.67
