playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,hitouts W Mean,hitouts FP,hitouts Scalar,extendedStats.hitoutsToAdvantage W Mean,extendedStats.hitoutsToAdvantage Scalar,intercepts W Mean,intercepts Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,marksInside50 W Mean,marksInside50 Scalar,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Jeremy Finlayson,12.14,36.42,83.91,5.29,10.58,-17.29,3.29,9.87,18.47,2.71,10.84,-14.7,1.0,1.0,-23.84,2.0,-6.0,48.7,0.71,4.26,44.31,0.43,0.43,29.52,17.43,34.11,8.86,50.94,8.43,18.27,0.57,-15.56,2.71,28.92,4.29,41.91,9.43,9.43,-52.25,3.43,-37.72,2.29,17.14,0.57,-10.24,0.57,5.56,0.14,0.72,76.86,-0.0,3.94,76.83
Jonathon Ceglar,5.72,17.16,-13.35,6.71,13.42,4.91,3.0,9.0,8.03,1.28,5.12,-59.71,0.86,0.86,-34.5,1.43,-4.29,6.32,0.0,0.0,-100.0,0.0,0.0,-100.0,12.43,-4.36,4.28,-27.09,8.57,20.23,1.0,48.15,2.0,-4.85,4.57,51.17,24.43,24.43,23.7,6.15,11.68,3.0,53.45,1.86,192.91,0.15,-72.22,0.15,7.91,65.71,15.96,-11.14,65.7
Jordon Sweet,4.01,12.03,-39.25,5.5,11.0,-14.01,2.33,6.99,-16.1,5.18,20.72,63.05,1.05,1.05,-20.03,1.87,-5.61,39.03,0.28,1.68,-43.09,0.18,0.18,-45.78,9.51,-26.83,4.64,-20.95,5.21,-26.91,0.43,-36.3,1.9,-9.61,2.38,-21.27,32.5,32.5,64.56,9.46,71.78,1.46,-25.32,0.43,-32.28,0.37,-31.48,0.0,-100.0,80.57,3.65,8.96,80.54
Josh Ward,12.0,36.0,81.79,14.0,28.0,118.89,8.0,24.0,188.08,4.0,16.0,25.9,0.0,0.0,-100.0,1.0,-3.0,-25.65,0.0,0.0,-100.0,1.0,1.0,201.2,26.0,100.05,22.0,274.79,5.0,-29.85,0.0,-100.0,8.0,280.59,3.0,-0.76,0.0,0.0,-100.0,0.0,-100.0,1.0,-48.85,0.0,-100.0,0.0,-100.0,0.0,-100.0,102.0,-0.0,37.94,102.0
Kieran Strachan,6.64,19.92,0.59,4.43,8.86,-30.74,3.43,10.29,23.51,3.0,12.0,-5.57,2.79,2.79,112.49,0.79,-2.37,-41.26,0.43,2.58,-12.6,0.14,0.14,-57.83,11.07,-14.83,5.43,-7.5,5.64,-20.88,0.57,-15.56,2.86,36.06,1.93,-36.16,15.29,15.29,-22.58,2.93,-46.79,3.0,53.45,1.79,181.89,0.5,-7.41,0.43,209.35,69.5,1.83,-6.01,69.5
Kieren Briggs,8.36,25.08,26.65,6.78,13.56,6.0,2.08,6.24,-25.1,4.68,18.72,47.31,1.21,1.21,-7.84,1.64,-4.92,21.93,0.12,0.72,-75.61,0.52,0.52,56.63,15.14,16.49,4.09,-30.32,10.25,43.8,0.42,-37.78,1.66,-21.03,6.26,107.08,29.68,29.68,50.28,8.35,51.63,2.14,9.46,0.89,40.16,0.22,-59.26,0.07,-49.64,90.79,16.89,22.78,90.81
Lachlan Keeffe,3.0,9.0,-54.55,2.14,4.28,-66.54,0.86,2.58,-69.03,3.86,15.44,21.5,0.0,0.0,-100.0,2.0,-6.0,48.7,0.0,0.0,-100.0,0.14,0.14,-57.83,5.14,-60.45,4.14,-29.47,1.0,-85.97,0.0,-100.0,0.86,-59.09,0.86,-71.55,28.86,28.86,46.13,7.57,37.46,0.14,-92.84,0.0,-100.0,0.0,-100.0,0.0,-100.0,54.29,20.64,-26.58,54.3
Lachlan McAndrew,3.0,9.0,-54.55,6.0,12.0,-6.19,1.0,3.0,-63.99,5.0,20.0,57.38,1.0,1.0,-23.84,0.0,-0.0,-100.0,0.0,0.0,-100.0,1.0,1.0,201.2,9.0,-30.75,2.0,-65.93,6.0,-15.82,0.0,-100.0,1.0,-52.43,3.0,-0.76,20.0,20.0,1.27,2.0,-63.68,0.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,66.0,-0.0,-10.75,66.0
Lewis Young,6.0,18.0,-9.1,7.0,14.0,9.44,4.0,12.0,44.04,3.5,14.0,10.17,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.5,0.5,50.6,13.0,0.02,7.5,27.77,7.0,-1.8,0.5,-25.93,3.5,66.51,1.0,-66.92,12.0,12.0,-39.24,1.5,-72.76,3.5,79.03,0.5,-21.26,0.0,-100.0,0.0,-100.0,70.5,-0.0,-4.66,70.5
Liam Reidy,3.0,9.0,-54.55,2.0,4.0,-68.73,0.0,0.0,-100.0,3.5,14.0,10.17,1.0,1.0,-23.84,0.5,-1.5,-62.83,0.0,0.0,-100.0,0.0,0.0,-100.0,5.0,-61.53,3.0,-48.89,2.5,-64.93,0.0,-100.0,0.0,-100.0,1.5,-50.38,25.0,25.0,26.58,5.0,-9.21,0.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,51.5,-0.0,-30.35,51.5
