playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,hitouts W Mean,hitouts FP,hitouts Scalar,extendedStats.hitoutsToAdvantage W Mean,extendedStats.hitoutsToAdvantage Scalar,intercepts W Mean,intercepts Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,marksInside50 W Mean,marksInside50 Scalar,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Rhys Stanley,6.34,19.02,-3.95,4.13,8.26,-35.43,2.6,7.8,-6.37,2.59,10.36,-18.48,1.41,1.41,7.39,1.67,-5.01,24.16,0.31,1.86,-36.99,0.1,0.1,-69.88,10.47,-19.44,5.52,-5.96,5.52,-22.56,0.66,-2.22,1.94,-7.71,2.31,-23.59,26.72,26.72,35.29,7.47,35.65,1.58,-19.18,0.63,-0.79,0.35,-35.19,0.02,-85.61,70.53,0.44,-4.62,70.52
Riley Thilthorpe,3.0,9.0,-54.55,5.0,10.0,-21.83,1.0,3.0,-63.99,2.0,8.0,-37.05,1.0,1.0,-23.84,2.0,-6.0,48.7,1.0,6.0,103.25,0.0,0.0,-100.0,8.0,-38.45,3.0,-48.89,5.0,-29.85,0.0,-100.0,1.0,-52.43,0.0,-100.0,9.0,9.0,-54.43,4.0,-27.37,3.0,53.45,0.0,-100.0,0.0,-100.0,0.0,-100.0,40.0,-0.0,-45.91,40.0
Rowan Marshall,14.46,43.38,119.06,6.09,12.18,-4.78,5.71,17.13,105.62,4.36,17.44,37.24,1.9,1.9,44.71,2.0,-6.0,48.7,0.59,3.54,19.92,0.34,0.34,2.41,20.55,58.11,9.62,63.88,10.61,48.85,1.06,57.04,4.65,121.22,5.58,84.58,26.56,26.56,34.48,6.77,22.93,3.44,75.96,1.6,151.97,0.74,37.04,0.26,87.05,116.48,5.52,57.52,116.47
Sam Darcy,13.0,39.0,96.94,7.0,14.0,9.44,9.0,27.0,224.09,2.0,8.0,-37.05,3.0,3.0,128.48,2.0,-6.0,48.7,7.0,42.0,1322.76,1.0,1.0,201.2,20.0,53.88,8.0,36.29,11.0,54.32,4.0,492.59,5.0,137.87,1.0,-66.92,5.0,5.0,-74.68,0.0,-100.0,1.0,-48.85,1.0,57.48,6.0,1011.11,0.0,-100.0,133.0,-0.0,79.86,133.0
Sam Draper,8.01,24.03,21.35,3.96,7.92,-38.09,3.19,9.57,14.87,2.13,8.52,-32.96,1.43,1.43,8.91,1.73,-5.19,28.62,0.8,4.8,62.6,0.61,0.61,83.73,11.97,-7.9,3.55,-39.52,7.61,6.76,1.43,111.85,1.76,-16.27,3.74,23.72,20.5,20.5,3.8,6.34,15.13,1.47,-24.81,0.87,37.01,0.6,11.11,0.37,166.19,72.22,6.8,-2.33,72.19
Sam Hayes,3.66,10.98,-44.55,5.73,11.46,-10.41,1.66,4.98,-40.22,2.47,9.88,-22.25,1.22,1.22,-7.08,1.08,-3.24,-19.7,0.0,0.0,-100.0,0.0,0.0,-100.0,9.39,-27.75,3.62,-38.33,5.92,-16.95,0.3,-55.56,1.34,-36.25,2.32,-23.26,22.47,22.47,13.77,7.33,33.1,2.71,38.62,0.62,-2.36,0.0,-100.0,0.0,-100.0,57.71,1.25,-21.96,57.75
Sam Menegola,17.0,51.0,157.54,8.0,16.0,25.08,4.0,12.0,44.04,2.0,8.0,-37.05,1.0,1.0,-23.84,1.0,-3.0,-25.65,1.0,6.0,103.25,1.0,1.0,201.2,25.0,92.35,17.0,189.61,8.0,12.23,0.0,-100.0,4.0,90.29,2.0,-33.84,0.0,0.0,-100.0,0.0,-100.0,2.0,2.3,0.0,-100.0,0.0,-100.0,1.0,619.42,92.0,-0.0,24.42,92.0
Sam Naismith,5.0,15.0,-24.25,6.0,12.0,-6.19,1.0,3.0,-63.99,3.0,12.0,-5.57,4.0,4.0,204.65,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,11.0,-15.37,2.0,-65.93,9.0,26.26,0.0,-100.0,1.0,-52.43,7.0,131.56,25.0,25.0,26.58,8.0,45.27,1.0,-48.85,0.0,-100.0,0.0,-100.0,0.0,-100.0,71.0,-0.0,-3.98,71.0
Sam Simpson,7.0,21.0,6.04,7.0,14.0,9.44,6.0,18.0,116.06,1.0,4.0,-68.52,2.0,2.0,52.32,0.0,-0.0,-100.0,2.0,12.0,306.5,1.0,1.0,201.2,14.0,7.72,7.0,19.25,7.0,-1.8,0.0,-100.0,6.0,185.44,0.0,-100.0,0.0,0.0,-100.0,0.0,-100.0,4.0,104.6,1.0,57.48,3.0,455.56,0.0,-100.0,72.0,-0.0,-2.63,72.0
Sam Weideman,5.0,15.0,-24.25,7.0,14.0,9.44,3.0,9.0,8.03,2.0,8.0,-37.05,0.0,0.0,-100.0,3.0,-9.0,123.05,0.0,0.0,-100.0,0.0,0.0,-100.0,12.0,-7.67,6.0,2.21,6.0,-15.82,1.0,48.15,2.0,-4.85,1.0,-66.92,11.0,11.0,-44.3,4.0,-27.37,1.0,-48.85,0.0,-100.0,0.0,-100.0,0.0,-100.0,48.0,-0.0,-35.09,48.0
Samson Ryan,6.14,18.42,-6.98,7.14,14.28,11.63,5.57,16.71,100.58,3.71,14.84,16.78,1.86,1.86,41.66,2.57,-7.71,91.08,0.0,0.0,-100.0,0.86,0.86,159.04,13.29,2.25,7.29,24.19,5.71,-19.89,0.14,-79.26,5.43,158.33,5.0,65.4,15.29,15.29,-22.58,5.14,-6.66,1.71,-12.53,0.86,35.43,0.86,59.26,0.0,-100.0,74.57,1.46,0.84,74.55
Scott Lycett,4.07,12.21,-38.34,8.07,16.14,26.17,1.33,3.99,-52.11,3.33,13.32,4.82,1.96,1.96,49.28,1.89,-5.67,40.52,0.07,0.42,-85.77,0.0,0.0,-100.0,12.13,-6.67,4.87,-17.04,7.51,5.36,0.15,-77.78,1.18,-43.86,4.34,43.57,25.24,25.24,27.8,7.88,43.09,1.38,-29.41,0.18,-71.65,0.15,-72.22,0.0,-100.0,67.6,-2.78,-8.58,67.61
Sean Darcy,5.08,15.24,-23.04,7.53,15.06,17.73,1.67,5.01,-39.86,2.94,11.76,-7.46,1.43,1.43,8.91,1.67,-5.01,24.16,0.51,3.06,3.66,0.22,0.22,-33.73,12.6,-3.05,4.17,-28.96,8.99,26.12,0.77,14.07,0.91,-56.71,4.78,58.12,32.4,32.4,64.05,9.86,79.04,1.81,-7.42,0.46,-27.56,0.41,-24.07,0.05,-64.03,79.16,-7.78,7.05,79.17
Shannon Neale,0.0,0.0,-100.0,3.0,6.0,-53.1,1.0,3.0,-63.99,5.0,20.0,57.38,0.0,0.0,-100.0,1.0,-3.0,-25.65,0.0,0.0,-100.0,0.0,0.0,-100.0,3.0,-76.92,1.0,-82.96,2.0,-71.94,1.0,48.15,0.0,-100.0,0.0,-100.0,6.0,6.0,-69.62,1.0,-81.84,0.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,32.0,-0.0,-56.73,32.0
Stefan Martin,2.67,8.01,-59.55,9.67,19.34,51.19,1.33,3.99,-52.11,2.33,9.32,-26.66,2.0,2.0,52.32,2.33,-6.99,73.23,0.0,0.0,-100.0,0.0,0.0,-100.0,12.33,-5.13,6.0,2.21,6.67,-6.43,0.33,-51.11,1.0,-52.43,3.33,10.16,20.0,20.0,1.27,8.33,51.26,1.33,-31.97,0.33,-48.03,0.0,-100.0,0.0,-100.0,55.67,-0.0,-24.72,55.67
Thomas Berry,5.0,15.0,-24.25,6.0,12.0,-6.19,2.0,6.0,-27.98,5.0,20.0,57.38,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,11.0,-15.37,7.0,19.25,4.0,-43.88,0.0,-100.0,2.0,-4.85,0.0,-100.0,0.0,0.0,-100.0,0.0,-100.0,1.0,-48.85,0.0,-100.0,1.0,85.19,0.0,-100.0,53.0,-0.0,-28.33,53.0
Tim English,9.31,27.93,41.04,7.64,15.28,19.45,6.19,18.57,122.9,3.79,15.16,19.29,1.45,1.45,10.43,1.22,-3.66,-9.29,0.61,3.66,23.98,0.41,0.41,23.49,16.95,30.41,10.28,75.13,7.22,1.29,1.24,83.7,4.95,135.49,2.94,-2.75,27.78,27.78,40.66,8.45,53.44,3.57,82.61,1.7,167.72,0.94,74.07,0.25,79.86,106.54,-1.7,44.08,106.58
Toby Conway,4.4,13.2,-33.34,8.11,16.22,26.8,2.2,6.6,-20.78,3.51,14.04,10.48,1.34,1.34,2.06,1.83,-5.49,36.06,0.17,1.02,-65.45,0.0,0.0,-100.0,12.51,-3.75,3.71,-36.8,9.14,28.23,0.66,-2.22,1.54,-26.74,4.23,39.93,24.34,24.34,23.24,4.94,-10.3,2.71,38.62,0.83,30.71,0.17,-68.52,0.0,-100.0,71.31,15.76,-3.56,71.27
Toby Nankervis,7.85,23.55,18.92,8.27,16.54,29.3,3.16,9.48,13.79,5.28,21.12,66.19,1.56,1.56,18.81,1.71,-5.13,27.14,0.12,0.72,-75.61,0.29,0.29,-12.65,16.13,24.11,5.82,-0.85,9.83,37.91,0.8,18.52,2.35,11.8,4.32,42.9,32.44,32.44,64.25,9.76,77.23,3.1,58.57,1.27,100.0,0.22,-59.26,0.1,-28.06,100.51,3.78,35.92,100.57
Todd Goldstein,4.0,12.0,-39.4,7.74,15.48,21.01,2.05,6.15,-26.18,2.46,9.84,-22.57,1.96,1.96,49.28,1.44,-4.32,7.06,0.12,0.72,-75.61,0.12,0.12,-63.86,11.74,-9.67,5.53,-5.79,6.36,-10.77,0.39,-42.22,1.66,-21.03,3.05,0.89,27.63,27.63,39.9,8.36,51.81,1.83,-6.39,0.36,-43.31,0.22,-59.26,0.2,43.88,69.58,-6.6,-5.9,69.58
Tom De Koning,8.75,26.25,32.56,8.34,16.68,30.39,2.67,8.01,-3.85,3.9,15.6,22.76,1.83,1.83,39.38,1.56,-4.68,15.99,0.25,1.5,-49.19,0.46,0.46,38.55,17.09,31.49,6.57,11.93,10.95,53.62,0.74,9.63,1.93,-8.18,6.01,98.81,25.32,25.32,28.2,7.26,31.83,2.18,11.51,0.87,37.01,0.22,-59.26,0.13,-6.47,90.97,16.48,23.02,90.97
Tom Hickey,5.72,17.16,-13.35,6.85,13.7,7.1,2.1,6.3,-24.38,2.46,9.84,-22.57,1.32,1.32,0.53,1.72,-5.16,27.88,0.01,0.06,-97.97,0.27,0.27,-18.67,12.57,-3.29,4.91,-16.35,8.18,14.76,0.62,-8.15,1.49,-29.12,3.55,17.43,23.42,23.42,18.58,4.79,-13.02,2.13,8.95,0.46,-27.56,0.18,-66.67,0.3,115.83,66.94,-3.06,-9.47,66.91
Tristan Xerri,7.66,22.98,16.04,9.35,18.7,46.19,2.6,7.8,-6.37,6.83,27.32,114.98,2.23,2.23,69.84,2.32,-6.96,72.49,0.36,2.16,-26.83,0.11,0.11,-66.87,17.02,30.95,5.11,-12.95,11.91,67.09,0.8,18.52,1.8,-14.37,6.03,99.47,33.47,33.47,69.47,8.33,51.26,2.58,31.97,0.97,52.76,0.38,-29.63,0.04,-71.22,107.81,23.9,45.8,107.81
Zach Guthrie,9.67,29.01,46.49,7.33,14.66,14.6,4.0,12.0,44.04,1.67,6.68,-47.43,1.67,1.67,27.19,0.33,-0.99,-75.46,0.0,0.0,-100.0,0.0,0.0,-100.0,17.0,30.8,12.0,104.43,5.67,-20.45,0.33,-51.11,3.67,74.6,0.0,-100.0,0.0,0.0,-100.0,0.0,-100.0,5.33,172.63,1.0,57.48,0.0,-100.0,0.0,-100.0,63.0,-0.0,-14.8,63.03
Zach Tuohy,14.14,42.42,114.21,10.43,20.86,63.07,4.43,13.29,59.52,0.14,0.56,-95.59,0.86,0.86,-34.5,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.86,0.86,159.04,24.57,89.04,13.0,121.47,7.14,0.17,0.0,-100.0,4.43,110.75,1.14,-62.29,0.0,0.0,-100.0,0.0,-100.0,4.0,104.6,0.14,-77.95,0.86,59.26,0.86,518.71,78.86,-8.3,6.65,78.85
League Average,6.601,,0.0,6.396,,0.0,2.777,,0.0,3.177,,0.0,1.313,,0.0,1.345,,0.0,0.492,,0.0,0.332,,0.0,12.997,0.0,5.87,0.0,7.128,0.0,0.675,0.0,2.102,0.0,3.023,0.0,19.75,,0.0,5.507,0.0,1.955,0.0,0.635,0.0,0.54,0.0,0.139,0.0,73.946,0.0,0.0,73.95
