round.roundNumber,team.name,opponent,venue.name,PF_AVG,PF,PF_diff,Opp_PAPG,PA_diff,Venue_AVG,PPV_diff
11,Melbourne,St Kilda,MCG,1496.65,1714.0,14.52,1560.61,9.83,1540.73,11.25
12,Melbourne,Fremantle,TIO Traeger Park,1496.65,1455.0,-2.78,1503.78,-3.24,1713.0,-15.06
13,Melbourne,Collingwood,MCG,1496.65,1499.0,0.16,1549.78,-3.28,1540.73,-2.71
15,Melbourne,North Melbourne,MCG,1496.65,1298.0,-13.27,1545.13,-15.99,1540.73,-15.75
16,Melbourne,Brisbane Lions,Gabba,1496.65,1435.0,-4.12,1464.22,-2.0,1509.23,-4.92
17,Melbourne,West Coast Eagles,MCG,1496.65,1681.0,12.32,1611.65,4.3,1540.73,9.1
18,Melbourne,Essendon,MCG,1496.65,1506.0,0.62,1494.26,0.79,1540.73,-2.25
19,Melbourne,Fremantle,Optus Stadium,1496.65,1427.0,-4.65,1503.78,-5.11,1505.23,-5.2
20,Melbourne,GWS GIANTS,MCG,1496.65,1442.0,-3.65,1448.04,-0.42,1540.73,-6.41
21,Melbourne,Western Bulldogs,Marvel Stadium,1496.65,1359.0,-9.2,1507.74,-9.87,1544.71,-12.02
22,Melbourne,Port Adelaide,MCG,1496.65,1487.0,-0.64,1431.43,3.88,1540.73,-3.49
23,Melbourne,Gold Coast SUNS,People First Stadium,1496.65,1671.0,11.65,1531.39,9.12,1478.28,13.04
24,Melbourne,Collingwood,MCG,1496.65,1282.0,-14.34,1549.78,-17.28,1540.73,-16.79
1,North Melbourne,GWS GIANTS,ENGIE Stadium,1484.26,1430.0,-3.66,1448.04,-1.25,1499.12,-4.61
2,North Melbourne,Fremantle,Marvel Stadium,1484.26,1440.0,-2.98,1503.78,-4.24,1544.71,-6.78
3,North Melbourne,Carlton,Marvel Stadium,1484.26,1328.0,-10.53,1500.87,-11.52,1544.71,-14.03
4,North Melbourne,Brisbane Lions,Norwood Oval,1484.26,1460.0,-1.63,1464.22,-0.29,1589.5,-8.15
5,North Melbourne,Geelong Cats,GMHBA Stadium,1484.26,1727.0,16.35,1585.17,8.95,1545.83,11.72
6,North Melbourne,Hawthorn,Marvel Stadium,1484.26,1342.0,-9.58,1516.96,-11.53,1544.71,-13.12
7,North Melbourne,Adelaide Crows,Ninja Stadium,1484.26,1361.0,-8.3,1507.87,-9.74,1544.75,-11.9
8,North Melbourne,St Kilda,Marvel Stadium,1484.26,1404.0,-5.41,1560.61,-10.04,1544.71,-9.11
9,North Melbourne,Gold Coast SUNS,TIO Stadium,1484.26,1480.0,-0.29,1531.39,-3.36,1583.5,-6.54
10,North Melbourne,Essendon,Marvel Stadium,1484.26,1477.0,-0.49,1494.26,-1.16,1544.71,-4.38
11,North Melbourne,Port Adelaide,Ninja Stadium,1484.26,1474.0,-0.69,1431.43,2.97,1544.75,-4.58
13,North Melbourne,West Coast Eagles,Optus Stadium,1484.26,1558.0,4.97,1611.65,-3.33,1505.23,3.51
14,North Melbourne,Collingwood,Marvel Stadium,1484.26,1609.0,8.4,1549.78,3.82,1544.71,4.16
15,North Melbourne,Melbourne,MCG,1484.26,1529.0,3.01,1562.04,-2.12,1540.73,-0.76
16,North Melbourne,Western Bulldogs,Marvel Stadium,1484.26,1461.0,-1.57,1507.74,-3.1,1544.71,-5.42
17,North Melbourne,Gold Coast SUNS,Marvel Stadium,1484.26,1588.0,6.99,1531.39,3.7,1544.71,2.8
18,North Melbourne,Sydney Swans,SCG,1484.26,1348.0,-9.18,1486.57,-9.32,1504.32,-10.39
19,North Melbourne,Carlton,Marvel Stadium,1484.26,1516.0,2.14,1500.87,1.01,1544.71,-1.86
20,North Melbourne,Geelong Cats,Ninja Stadium,1484.26,1656.0,11.57,1585.17,4.47,1544.75,7.2
21,North Melbourne,Richmond,Marvel Stadium,1484.26,1802.0,21.41,1652.3,9.06,1544.71,16.66
22,North Melbourne,West Coast Eagles,Ninja Stadium,1484.26,1581.0,6.52,1611.65,-1.9,1544.75,2.35
23,North Melbourne,Western Bulldogs,Marvel Stadium,1484.26,1341.0,-9.65,1507.74,-11.06,1544.71,-13.19
24,North Melbourne,Hawthorn,University of Tasmania Stadium,1484.26,1226.0,-17.4,1516.96,-19.18,1475.62,-16.92
1,Port Adelaide,West Coast Eagles,Adelaide Oval,1564.91,1612.0,3.01,1611.65,0.02,1511.26,6.67
2,Port Adelaide,Richmond,MCG,1564.91,1612.0,3.01,1652.3,-2.44,1540.73,4.63
3,Port Adelaide,Melbourne,Adelaide Oval,1564.91,1464.0,-6.45,1562.04,-6.28,1511.26,-3.13
4,Port Adelaide,Essendon,Adelaide Oval,1564.91,1553.0,-0.76,1494.26,3.93,1511.26,2.76
5,Port Adelaide,Fremantle,Adelaide Oval,1564.91,1557.0,-0.51,1503.78,3.54,1511.26,3.03
6,Port Adelaide,Collingwood,MCG,1564.91,1422.0,-9.13,1549.78,-8.25,1540.73,-7.71
7,Port Adelaide,St Kilda,Adelaide Oval,1564.91,1707.0,9.08,1560.61,9.38,1511.26,12.95
8,Port Adelaide,Adelaide Crows,Adelaide Oval,1564.91,1369.0,-12.52,1507.87,-9.21,1511.26,-9.41
9,Port Adelaide,Geelong Cats,GMHBA Stadium,1564.91,1639.0,4.73,1585.17,3.4,1545.83,6.03
10,Port Adelaide,Hawthorn,Adelaide Oval,1564.91,1529.0,-2.29,1516.96,0.79,1511.26,1.17
11,Port Adelaide,North Melbourne,Ninja Stadium,1564.91,1593.0,1.79,1545.13,3.1,1544.75,3.12
12,Port Adelaide,Carlton,Adelaide Oval,1564.91,1443.0,-7.79,1500.87,-3.86,1511.26,-4.52
14,Port Adelaide,GWS GIANTS,ENGIE Stadium,1564.91,1342.0,-14.24,1448.04,-7.32,1499.12,-10.48
15,Port Adelaide,Brisbane Lions,Adelaide Oval,1564.91,1559.0,-0.38,1464.22,6.47,1511.26,3.16
16,Port Adelaide,St Kilda,Marvel Stadium,1564.91,1549.0,-1.02,1560.61,-0.74,1544.71,0.28
17,Port Adelaide,Western Bulldogs,Adelaide Oval,1564.91,1631.0,4.22,1507.74,8.18,1511.26,7.92
18,Port Adelaide,Gold Coast SUNS,People First Stadium,1564.91,1716.0,9.65,1531.39,12.06,1478.28,16.08
19,Port Adelaide,Richmond,Adelaide Oval,1564.91,1732.0,10.68,1652.3,4.82,1511.26,14.61
20,Port Adelaide,Carlton,Marvel Stadium,1564.91,1615.0,3.2,1500.87,7.6,1544.71,4.55
21,Port Adelaide,Sydney Swans,Adelaide Oval,1564.91,1768.0,12.98,1486.57,18.93,1511.26,16.99
22,Port Adelaide,Melbourne,MCG,1564.91,1578.0,0.84,1562.04,1.02,1540.73,2.42
23,Port Adelaide,Adelaide Crows,Adelaide Oval,1564.91,1512.0,-3.38,1507.87,0.27,1511.26,0.05
24,Port Adelaide,Fremantle,Optus Stadium,1564.91,1491.0,-4.72,1503.78,-0.85,1505.23,-0.95
0,Richmond,Gold Coast SUNS,People First Stadium,1394.87,1193.0,-14.47,1531.39,-22.1,1478.28,-19.3
1,Richmond,Carlton,MCG,1394.87,1320.0,-5.37,1500.87,-12.05,1540.73,-14.33
2,Richmond,Port Adelaide,MCG,1394.87,1257.0,-9.88,1431.43,-12.19,1540.73,-18.42
3,Richmond,Sydney Swans,MCG,1394.87,1614.0,15.71,1486.57,8.57,1540.73,4.76
4,Richmond,St Kilda,Norwood Oval,1394.87,1529.0,9.62,1560.61,-2.03,1589.5,-3.81
5,Richmond,West Coast Eagles,Optus Stadium,1394.87,1361.0,-2.43,1611.65,-15.55,1505.23,-9.58
7,Richmond,Melbourne,MCG,1394.87,1476.0,5.82,1562.04,-5.51,1540.73,-4.2
8,Richmond,Fremantle,MCG,1394.87,1317.0,-5.58,1503.78,-12.42,1540.73,-14.52
9,Richmond,Western Bulldogs,MCG,1394.87,1324.0,-5.08,1507.74,-12.19,1540.73,-14.07
10,Richmond,Brisbane Lions,Gabba,1394.87,1186.0,-14.97,1464.22,-19.0,1509.23,-21.42
11,Richmond,Essendon,MCG,1394.87,1374.0,-1.5,1494.26,-8.05,1540.73,-10.82
12,Richmond,Geelong Cats,GMHBA Stadium,1394.87,1352.0,-3.07,1585.17,-14.71,1545.83,-12.54
13,Richmond,Adelaide Crows,Adelaide Oval,1394.87,1480.0,6.1,1507.87,-1.85,1511.26,-2.07
14,Richmond,Hawthorn,MCG,1394.87,1495.0,7.18,1516.96,-1.45,1540.73,-2.97
16,Richmond,Carlton,MCG,1394.87,1358.0,-2.64,1500.87,-9.52,1540.73,-11.86
17,Richmond,Fremantle,Optus Stadium,1394.87,1432.0,2.66,1503.78,-4.77,1505.23,-4.87
18,Richmond,GWS GIANTS,MCG,1394.87,1421.0,1.87,1448.04,-1.87,1540.73,-7.77
19,Richmond,Port Adelaide,Adelaide Oval,1394.87,1361.0,-2.43,1431.43,-4.92,1511.26,-9.94
20,Richmond,Collingwood,MCG,1394.87,1462.0,4.81,1549.78,-5.66,1540.73,-5.11
21,Richmond,North Melbourne,Marvel Stadium,1394.87,1386.0,-0.64,1545.13,-10.3,1544.71,-10.27
22,Richmond,St Kilda,Marvel Stadium,1394.87,1351.0,-3.15,1560.61,-13.43,1544.71,-12.54
23,Richmond,Hawthorn,MCG,1394.87,1487.0,6.6,1516.96,-1.98,1540.73,-3.49
24,Richmond,Gold Coast SUNS,MCG,1394.87,1546.0,10.83,1531.39,0.95,1540.73,0.34
1,St Kilda,Geelong Cats,GMHBA Stadium,1577.0,1446.0,-8.31,1585.17,-8.78,1545.83,-6.46
2,St Kilda,Collingwood,MCG,1577.0,1654.0,4.88,1549.78,6.72,1540.73,7.35
3,St Kilda,Essendon,Marvel Stadium,1577.0,1575.0,-0.13,1494.26,5.4,1544.71,1.96
4,St Kilda,Richmond,Norwood Oval,1577.0,1734.0,9.96,1652.3,4.94,1589.5,9.09
5,St Kilda,GWS GIANTS,Manuka Oval,1577.0,1624.0,2.98,1448.04,12.15,1524.17,6.55
6,St Kilda,Western Bulldogs,Marvel Stadium,1577.0,1318.0,-16.42,1507.74,-12.58,1544.71,-14.68
7,St Kilda,Port Adelaide,Adelaide Oval,1577.0,1333.0,-15.47,1431.43,-6.88,1511.26,-11.8
8,St Kilda,North Melbourne,Marvel Stadium,1577.0,1758.0,11.48,1545.13,13.78,1544.71,13.81
9,St Kilda,Hawthorn,University of Tasmania Stadium,1577.0,1702.0,7.93,1516.96,12.2,1475.62,15.34
10,St Kilda,Fremantle,Marvel Stadium,1577.0,1564.0,-0.82,1503.78,4.0,1544.71,1.25
11,St Kilda,Melbourne,MCG,1577.0,1338.0,-15.16,1562.04,-14.34,1540.73,-13.16
12,St Kilda,West Coast Eagles,Optus Stadium,1577.0,1564.0,-0.82,1611.65,-2.96,1505.23,3.9
13,St Kilda,Gold Coast SUNS,Marvel Stadium,1577.0,1434.0,-9.07,1531.39,-6.36,1544.71,-7.17
14,St Kilda,Brisbane Lions,Gabba,1577.0,1371.0,-13.06,1464.22,-6.37,1509.23,-9.16
16,St Kilda,Port Adelaide,Marvel Stadium,1577.0,1464.0,-7.17,1431.43,2.28,1544.71,-5.22
17,St Kilda,Sydney Swans,Marvel Stadium,1577.0,1672.0,6.02,1486.57,12.47,1544.71,8.24
18,St Kilda,Adelaide Crows,Adelaide Oval,1577.0,1494.0,-5.26,1507.87,-0.92,1511.26,-1.14
19,St Kilda,West Coast Eagles,Marvel Stadium,1577.0,1816.0,15.16,1611.65,12.68,1544.71,17.56
20,St Kilda,Essendon,Marvel Stadium,1577.0,1790.0,13.51,1494.26,19.79,1544.71,15.88
21,St Kilda,Brisbane Lions,Marvel Stadium,1577.0,1547.0,-1.9,1464.22,5.65,1544.71,0.15
22,St Kilda,Richmond,Marvel Stadium,1577.0,1737.0,10.15,1652.3,5.13,1544.71,12.45
23,St Kilda,Geelong Cats,Marvel Stadium,1577.0,1759.0,11.54,1585.17,10.97,1544.71,13.87
24,St Kilda,Carlton,Marvel Stadium,1577.0,1577.0,-0.0,1500.87,5.07,1544.71,2.09
0,Sydney Swans,Melbourne,SCG,1557.48,1574.0,1.06,1562.04,0.77,1504.32,4.63
1,Sydney Swans,Collingwood,MCG,1557.48,1604.0,2.99,1549.78,3.5,1540.73,4.11
2,Sydney Swans,Essendon,SCG,1557.48,1565.0,0.48,1494.26,4.73,1504.32,4.03
3,Sydney Swans,Richmond,MCG,1557.48,1535.0,-1.44,1652.3,-7.1,1540.73,-0.37
4,Sydney Swans,West Coast Eagles,Adelaide Hills,1557.48,1525.0,-2.09,1611.65,-5.38,1476.0,3.32
6,Sydney Swans,Gold Coast SUNS,SCG,1557.48,1649.0,5.88,1531.39,7.68,1504.32,9.62
7,Sydney Swans,Hawthorn,MCG,1557.48,1858.0,19.3,1516.96,22.48,1540.73,20.59
8,Sydney Swans,GWS GIANTS,SCG,1557.48,1501.0,-3.63,1448.04,3.66,1504.32,-0.22
9,Sydney Swans,Fremantle,Optus Stadium,1557.48,1671.0,7.29,1503.78,11.12,1505.23,11.01
10,Sydney Swans,Carlton,SCG,1557.48,1588.0,1.96,1500.87,5.81,1504.32,5.56
11,Sydney Swans,Western Bulldogs,Marvel Stadium,1557.48,1619.0,3.95,1507.74,7.38,1544.71,4.81
13,Sydney Swans,Geelong Cats,SCG,1557.48,1590.0,2.09,1585.17,0.3,1504.32,5.7
14,Sydney Swans,Adelaide Crows,Adelaide Oval,1557.48,1477.0,-5.17,1507.87,-2.05,1511.26,-2.27
15,Sydney Swans,GWS GIANTS,ENGIE Stadium,1557.48,1451.0,-6.84,1448.04,0.2,1499.12,-3.21
16,Sydney Swans,Fremantle,SCG,1557.48,1432.0,-8.06,1503.78,-4.77,1504.32,-4.81
17,Sydney Swans,St Kilda,Marvel Stadium,1557.48,1506.0,-3.31,1560.61,-3.5,1544.71,-2.51
18,Sydney Swans,North Melbourne,SCG,1557.48,1693.0,8.7,1545.13,9.57,1504.32,12.54
19,Sydney Swans,Brisbane Lions,Gabba,1557.48,1468.0,-5.75,1464.22,0.26,1509.23,-2.73
20,Sydney Swans,Western Bulldogs,SCG,1557.48,1611.0,3.44,1507.74,6.85,1504.32,7.09
21,Sydney Swans,Port Adelaide,Adelaide Oval,1557.48,1274.0,-18.2,1431.43,-11.0,1511.26,-15.7
22,Sydney Swans,Collingwood,SCG,1557.48,1409.0,-9.53,1549.78,-9.08,1504.32,-6.34
23,Sydney Swans,Essendon,Marvel Stadium,1557.48,1526.0,-2.02,1494.26,2.12,1544.71,-1.21
24,Sydney Swans,Adelaide Crows,SCG,1557.48,1696.0,8.89,1507.87,12.48,1504.32,12.74
1,West Coast Eagles,Port Adelaide,Adelaide Oval,1360.78,1162.0,-14.61,1431.43,-18.82,1511.26,-23.11
2,West Coast Eagles,GWS GIANTS,Optus Stadium,1360.78,1408.0,3.47,1448.04,-2.77,1505.23,-6.46
3,West Coast Eagles,Western Bulldogs,Marvel Stadium,1360.78,1318.0,-3.14,1507.74,-12.58,1544.71,-14.68
4,West Coast Eagles,Sydney Swans,Adelaide Hills,1360.78,1486.0,9.2,1486.57,-0.04,1476.0,0.68
5,West Coast Eagles,Richmond,Optus Stadium,1360.78,1376.0,1.12,1652.3,-16.72,1505.23,-8.59
6,West Coast Eagles,Fremantle,Optus Stadium,1360.78,1431.0,5.16,1503.78,-4.84,1505.23,-4.93
7,West Coast Eagles,Gold Coast SUNS,People First Stadium,1360.78,1261.0,-7.33,1531.39,-17.66,1478.28,-14.7
8,West Coast Eagles,Essendon,Optus Stadium,1360.78,1380.0,1.41,1494.26,-7.65,1505.23,-8.32
9,West Coast Eagles,Collingwood,Marvel Stadium,1360.78,1354.0,-0.5,1549.78,-12.63,1544.71,-12.35
10,West Coast Eagles,Melbourne,Optus Stadium,1360.78,1598.0,17.43,1562.04,2.3,1505.23,6.16
11,West Coast Eagles,Adelaide Crows,Adelaide Oval,1360.78,1146.0,-15.78,1507.87,-24.0,1511.26,-24.17
12,West Coast Eagles,St Kilda,Optus Stadium,1360.78,1434.0,5.38,1560.61,-8.11,1505.23,-4.73
13,West Coast Eagles,North Melbourne,Optus Stadium,1360.78,1294.0,-4.91,1545.13,-16.25,1505.23,-14.03
15,West Coast Eagles,Essendon,Marvel Stadium,1360.78,1356.0,-0.35,1494.26,-9.25,1544.71,-12.22
16,West Coast Eagles,Hawthorn,Optus Stadium,1360.78,1269.0,-6.74,1516.96,-16.35,1505.23,-15.69
17,West Coast Eagles,Melbourne,MCG,1360.78,1257.0,-7.63,1562.04,-19.53,1540.73,-18.42
18,West Coast Eagles,Brisbane Lions,Optus Stadium,1360.78,1436.0,5.53,1464.22,-1.93,1505.23,-4.6
19,West Coast Eagles,St Kilda,Marvel Stadium,1360.78,1438.0,5.67,1560.61,-7.86,1544.71,-6.91
20,West Coast Eagles,Fremantle,Optus Stadium,1360.78,1377.0,1.19,1503.78,-8.43,1505.23,-8.52
21,West Coast Eagles,Gold Coast SUNS,Optus Stadium,1360.78,1544.0,13.46,1531.39,0.82,1505.23,2.58
22,West Coast Eagles,North Melbourne,Ninja Stadium,1360.78,1330.0,-2.26,1545.13,-13.92,1544.75,-13.9
23,West Coast Eagles,Carlton,Optus Stadium,1360.78,1400.0,2.88,1500.87,-6.72,1505.23,-6.99
24,West Coast Eagles,Geelong Cats,GMHBA Stadium,1360.78,1243.0,-8.66,1585.17,-21.59,1545.83,-19.59
1,Western Bulldogs,Melbourne,MCG,1587.7,1431.0,-9.87,1562.04,-8.39,1540.73,-7.12
2,Western Bulldogs,Gold Coast SUNS,Mars Stadium,1587.7,1663.0,4.74,1531.39,8.59,1504.0,10.57
3,Western Bulldogs,West Coast Eagles,Marvel Stadium,1587.7,1844.0,16.14,1611.65,14.42,1544.71,19.38
4,Western Bulldogs,Geelong Cats,Adelaide Oval,1587.7,1619.0,1.97,1585.17,2.13,1511.26,7.13
5,Western Bulldogs,Essendon,Marvel Stadium,1587.7,1426.0,-10.18,1494.26,-4.57,1544.71,-7.68
6,Western Bulldogs,St Kilda,Marvel Stadium,1587.7,1970.0,24.08,1560.61,26.23,1544.71,27.53
7,Western Bulldogs,Fremantle,Optus Stadium,1587.7,1544.0,-2.75,1503.78,2.67,1505.23,2.58
8,Western Bulldogs,Hawthorn,Marvel Stadium,1587.7,1459.0,-8.11,1516.96,-3.82,1544.71,-5.55
9,Western Bulldogs,Richmond,MCG,1587.7,1875.0,18.1,1652.3,13.48,1540.73,21.7
10,Western Bulldogs,GWS GIANTS,ENGIE Stadium,1587.7,1354.0,-14.72,1448.04,-6.49,1499.12,-9.68
11,Western Bulldogs,Sydney Swans,Marvel Stadium,1587.7,1563.0,-1.56,1486.57,5.14,1544.71,1.18
12,Western Bulldogs,Collingwood,Marvel Stadium,1587.7,1576.0,-0.74,1549.78,1.69,1544.71,2.03
13,Western Bulldogs,Brisbane Lions,Marvel Stadium,1587.7,1383.0,-12.89,1464.22,-5.55,1544.71,-10.47
14,Western Bulldogs,Fremantle,Marvel Stadium,1587.7,1711.0,7.77,1503.78,13.78,1544.71,10.77
16,Western Bulldogs,North Melbourne,Marvel Stadium,1587.7,1616.0,1.78,1545.13,4.59,1544.71,4.62
17,Western Bulldogs,Port Adelaide,Adelaide Oval,1587.7,1382.0,-12.96,1431.43,-3.45,1511.26,-8.55
18,Western Bulldogs,Carlton,Marvel Stadium,1587.7,1469.0,-7.48,1500.87,-2.12,1544.71,-4.9
19,Western Bulldogs,Geelong Cats,GMHBA Stadium,1587.7,1737.0,9.4,1585.17,9.58,1545.83,12.37
20,Western Bulldogs,Sydney Swans,SCG,1587.7,1543.0,-2.82,1486.57,3.8,1504.32,2.57
21,Western Bulldogs,Melbourne,Marvel Stadium,1587.7,1583.0,-0.3,1562.04,1.34,1544.71,2.48
22,Western Bulldogs,Adelaide Crows,Adelaide Oval,1587.7,1452.0,-8.55,1507.87,-3.71,1511.26,-3.92
23,Western Bulldogs,North Melbourne,Marvel Stadium,1587.7,1826.0,15.01,1545.13,18.18,1544.71,18.21
24,Western Bulldogs,GWS GIANTS,Mars Stadium,1587.7,1491.0,-6.09,1448.04,2.97,1504.0,-0.86
