"compSeason.name","round.name","home.team.name","away.team.name","venue.name"
"2025 Toyota AFL Premiership","Round 13","Geelong Cats","Gold Coast SUNS","GMHBA Stadium"
"2025 Toyota AFL Premiership","Round 13","GWS GIANTS","Port Adelaide","Manuka Oval"
"2025 Toyota AFL Premiership","Round 13","North Melbourne","West Coast Eagles","Hands Oval"
"2025 Toyota AFL Premiership","Round 13","Carlton","Essendon","MCG"
"2025 Toyota AFL Premiership","Round 13","Melbourne","Collingwood","MCG"
"2025 Toyota AFL Premiership","Round 14","St Kilda","Western Bulldogs","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 14","Hawthorn","Adelaide Crows","University of Tasmania Stadium"
"2025 Toyota AFL Premiership","Round 14","Brisbane Lions","GWS GIANTS","Gabba"
"2025 Toyota AFL Premiership","Round 14","Essendon","Geelong Cats","MCG"
"2025 Toyota AFL Premiership","Round 14","North Melbourne","Fremantle","Optus Stadium"
"2025 Toyota AFL Premiership","Round 14","Port Adelaide","Melbourne","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 14","West Coast Eagles","Carlton","Optus Stadium"
"2025 Toyota AFL Premiership","Round 15","Fremantle","Essendon","Optus Stadium"
"2025 Toyota AFL Premiership","Round 15","Geelong Cats","Brisbane Lions","GMHBA Stadium"
"2025 Toyota AFL Premiership","Round 15","Carlton","North Melbourne","MCG"
"2025 Toyota AFL Premiership","Round 15","Port Adelaide","Sydney Swans","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 15","Collingwood","St Kilda","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 15","GWS GIANTS","Gold Coast SUNS","ENGIE Stadium"
"2025 Toyota AFL Premiership","Round 15","Western Bulldogs","Richmond","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 16","Collingwood","West Coast Eagles","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 16","Richmond","Adelaide Crows","MCG"
"2025 Toyota AFL Premiership","Round 16","Gold Coast SUNS","Melbourne","People First Stadium"
"2025 Toyota AFL Premiership","Round 16","Sydney Swans","Western Bulldogs","SCG"
"2025 Toyota AFL Premiership","Round 16","Hawthorn","North Melbourne","University of Tasmania Stadium"
"2025 Toyota AFL Premiership","Round 16","Port Adelaide","Carlton","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 16","Fremantle","St Kilda","Optus Stadium"
"2025 Toyota AFL Premiership","Round 17","Geelong Cats","Richmond","GMHBA Stadium"
"2025 Toyota AFL Premiership","Round 17","St Kilda","Hawthorn","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 17","North Melbourne","Western Bulldogs","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 17","Essendon","Gold Coast SUNS","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 17","Carlton","Collingwood","MCG"
"2025 Toyota AFL Premiership","Round 17","Sydney Swans","Fremantle","SCG"
"2025 Toyota AFL Premiership","Round 17","Brisbane Lions","Port Adelaide","Gabba"
"2025 Toyota AFL Premiership","Round 17","Adelaide Crows","Melbourne","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 17","West Coast Eagles","GWS GIANTS","Optus Stadium"
"2025 Toyota AFL Premiership","Round 18","GWS GIANTS","Geelong Cats","ENGIE Stadium"
"2025 Toyota AFL Premiership","Round 18","Western Bulldogs","Adelaide Crows","Mars Stadium"
"2025 Toyota AFL Premiership","Round 18","St Kilda","Sydney Swans","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 18","Carlton","Brisbane Lions","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 18","Melbourne","North Melbourne","MCG"
"2025 Toyota AFL Premiership","Round 18","Richmond","Essendon","MCG"
"2025 Toyota AFL Premiership","Round 18","Gold Coast SUNS","Collingwood","People First Stadium"
"2025 Toyota AFL Premiership","Round 18","Port Adelaide","West Coast Eagles","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 18","Fremantle","Hawthorn","Optus Stadium"
"2025 Toyota AFL Premiership","Round 19","Geelong Cats","St Kilda","GMHBA Stadium"
"2025 Toyota AFL Premiership","Round 19","Essendon","GWS GIANTS","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 19","Carlton","Melbourne","MCG"
"2025 Toyota AFL Premiership","Round 19","Collingwood","Fremantle","MCG"
"2025 Toyota AFL Premiership","Round 19","Sydney Swans","North Melbourne","SCG"
"2025 Toyota AFL Premiership","Round 19","Brisbane Lions","Western Bulldogs","Gabba"
"2025 Toyota AFL Premiership","Round 19","Hawthorn","Port Adelaide","University of Tasmania Stadium"
"2025 Toyota AFL Premiership","Round 19","Adelaide Crows","Gold Coast SUNS","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 19","West Coast Eagles","Richmond","Optus Stadium"
"2025 Toyota AFL Premiership","Round 20","GWS GIANTS","Sydney Swans","ENGIE Stadium"
"2025 Toyota AFL Premiership","Round 20","North Melbourne","Geelong Cats","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 20","St Kilda","Melbourne","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 20","Essendon","Western Bulldogs","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 20","Richmond","Collingwood","MCG"
"2025 Toyota AFL Premiership","Round 20","Hawthorn","Carlton","MCG"
"2025 Toyota AFL Premiership","Round 20","Gold Coast SUNS","Brisbane Lions","People First Stadium"
"2025 Toyota AFL Premiership","Round 20","Adelaide Crows","Port Adelaide","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 20","Fremantle","West Coast Eagles","Optus Stadium"
"2025 Toyota AFL Premiership","Round 21","Geelong Cats","Port Adelaide","GMHBA Stadium"
"2025 Toyota AFL Premiership","Round 21","St Kilda","North Melbourne","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 21","Melbourne","West Coast Eagles","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 21","Western Bulldogs","GWS GIANTS","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 21","Collingwood","Brisbane Lions","MCG"
"2025 Toyota AFL Premiership","Round 21","Gold Coast SUNS","Richmond","People First Stadium"
"2025 Toyota AFL Premiership","Round 21","Sydney Swans","Essendon","SCG"
"2025 Toyota AFL Premiership","Round 21","Adelaide Crows","Hawthorn","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 21","Fremantle","Carlton","Optus Stadium"
"2025 Toyota AFL Premiership","Round 22","Geelong Cats","Essendon","GMHBA Stadium"
"2025 Toyota AFL Premiership","Round 22","GWS GIANTS","North Melbourne","Manuka Oval"
"2025 Toyota AFL Premiership","Round 22","Carlton","Gold Coast SUNS","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 22","Richmond","St Kilda","MCG"
"2025 Toyota AFL Premiership","Round 22","Melbourne","Western Bulldogs","MCG"
"2025 Toyota AFL Premiership","Round 22","Hawthorn","Collingwood","MCG"
"2025 Toyota AFL Premiership","Round 22","Brisbane Lions","Sydney Swans","Gabba"
"2025 Toyota AFL Premiership","Round 22","Port Adelaide","Fremantle","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 22","West Coast Eagles","Adelaide Crows","Optus Stadium"
"2025 Toyota AFL Premiership","Round 23","North Melbourne","Richmond","Ninja Stadium"
"2025 Toyota AFL Premiership","Round 23","Essendon","St Kilda","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 23","Western Bulldogs","West Coast Eagles","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 23","Carlton","Port Adelaide","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 23","Hawthorn","Melbourne","MCG"
"2025 Toyota AFL Premiership","Round 23","Gold Coast SUNS","GWS GIANTS","People First Stadium"
"2025 Toyota AFL Premiership","Round 23","Sydney Swans","Geelong Cats","SCG"
"2025 Toyota AFL Premiership","Round 23","Adelaide Crows","Collingwood","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 23","Fremantle","Brisbane Lions","Optus Stadium"
"2025 Toyota AFL Premiership","Round 24","GWS GIANTS","St Kilda","ENGIE Stadium"
"2025 Toyota AFL Premiership","Round 24","North Melbourne","Adelaide Crows","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 24","Western Bulldogs","Fremantle","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 24","Collingwood","Melbourne","MCG"
"2025 Toyota AFL Premiership","Round 24","Richmond","Geelong Cats","MCG"
"2025 Toyota AFL Premiership","Round 24","Essendon","Carlton","MCG"
"2025 Toyota AFL Premiership","Round 24","Brisbane Lions","Hawthorn","Gabba"
"2025 Toyota AFL Premiership","Round 24","Port Adelaide","Gold Coast SUNS","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 24","West Coast Eagles","Sydney Swans","Optus Stadium"
