playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.kickins W Mean,extendedStats.kickins Scalar,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Isaac Cumming,13.56,40.68,35.42,6.24,12.48,13.13,4.57,13.71,-2.48,1.75,7.0,-14.63,0.42,0.42,-34.27,0.49,-1.47,-27.84,0.15,0.9,-10.71,0.01,0.01,-91.87,19.8,27.5,11.83,17.72,3.85,-18.48,0.04,-89.72,4.53,5.42,0.65,-16.88,1.97,18.89,78.46,2.73,4.3,57.05,421.12,56.11,75.52,5.58,0.89,-23.08,0.95,12.03,4.54,417.08,3.67,373.55,73.73,-8.71,16.23,73.73
Isaac Quaynor,7.58,22.74,-24.3,5.38,10.76,-2.47,4.48,13.44,-4.4,2.72,10.88,32.68,0.64,0.64,0.16,0.62,-1.86,-8.69,0.07,0.42,-58.33,0.02,0.02,-83.74,12.96,-16.54,8.3,-17.4,4.2,-11.07,0.39,0.26,4.1,-4.58,0.59,-24.55,0.61,-63.19,77.28,1.18,3.04,11.03,209.29,-22.41,76.03,6.29,1.36,17.55,1.11,30.9,0.57,-35.08,0.56,-27.74,57.03,-8.66,-10.1,57.04
Isaac Smith,16.0,48.0,59.79,6.0,12.0,8.77,6.0,18.0,28.04,3.0,12.0,46.34,0.5,0.5,-21.75,0.5,-1.5,-26.36,0.5,3.0,197.62,0.0,0.0,-100.0,22.0,41.67,14.5,44.29,3.0,-36.48,0.5,28.53,5.5,28.0,1.0,27.88,5.5,231.93,73.1,-4.29,5.5,100.88,597.0,121.32,70.2,-1.86,1.0,-13.57,1.5,76.89,3.0,241.69,3.0,287.1,92.0,-0.0,45.03,92.0
Jack Bowes,13.1,39.3,30.83,10.86,21.72,96.88,9.24,27.72,97.18,1.19,4.76,-41.95,0.1,0.1,-84.35,1.1,-3.3,62.0,0.86,5.16,411.9,0.86,0.86,599.19,23.95,54.23,15.29,52.15,8.24,74.47,0.0,-100.0,9.24,115.03,2.05,162.15,4.62,178.82,79.45,4.02,4.1,49.74,461.81,71.2,69.73,-2.52,1.81,56.44,1.05,23.82,0.52,-40.77,0.43,-44.52,96.29,13.95,51.8,96.32
Jack Buckley,7.09,21.27,-29.19,5.09,10.18,-7.72,4.0,12.0,-14.64,3.73,14.92,81.95,0.55,0.55,-13.93,0.27,-0.81,-60.24,0.0,0.0,-100.0,0.0,0.0,-100.0,12.18,-21.57,6.55,-34.82,5.82,23.23,0.82,110.8,3.18,-25.99,0.09,-88.49,0.45,-72.84,85.78,12.31,2.73,-0.29,211.18,-21.71,82.07,14.73,2.09,80.64,0.82,-3.3,0.0,-100.0,0.0,-100.0,58.09,-0.0,-8.42,58.11
Jack Crisp,11.57,34.71,15.55,10.85,21.7,96.7,4.43,13.29,-5.46,3.86,15.44,88.29,0.57,0.57,-10.8,0.72,-2.16,6.04,0.0,0.0,-100.0,0.28,0.28,127.64,22.43,44.44,14.43,43.6,8.14,72.35,0.0,-100.0,4.43,3.1,3.72,375.7,4.0,141.4,68.74,-10.0,1.57,-42.66,448.28,66.18,59.01,-17.51,0.72,-37.77,1.57,85.14,0.0,-100.0,0.0,-100.0,83.85,4.6,32.18,83.83
Jack Gunston,5.0,15.0,-50.06,0.0,0.0,-100.0,3.0,9.0,-35.98,1.0,4.0,-51.22,0.0,0.0,-100.0,1.0,-3.0,47.28,4.0,24.0,2280.95,0.0,0.0,-100.0,5.0,-67.8,4.0,-60.2,1.0,-78.83,0.0,-100.0,3.0,-30.18,0.0,-100.0,0.0,-100.0,80.0,4.74,0.0,-100.0,168.0,-37.72,80.0,11.84,0.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,49.0,-0.0,-22.75,49.0
Jack Henry,9.32,27.96,-6.92,3.12,6.24,-43.44,6.49,19.47,38.5,1.32,5.28,-35.61,0.74,0.74,15.81,0.35,-1.05,-48.45,0.03,0.18,-82.14,0.0,0.0,-100.0,12.44,-19.89,7.14,-28.95,5.08,7.56,1.29,231.62,5.2,21.01,0.17,-78.26,0.55,-66.81,80.61,5.54,2.79,1.9,186.25,-30.95,79.85,11.63,3.03,161.88,1.23,45.05,0.0,-100.0,0.0,-100.0,58.87,3.84,-7.19,58.82
Jack Lukosius,11.2,33.6,11.85,3.17,6.34,-42.53,5.37,16.11,14.6,0.9,3.6,-56.1,0.59,0.59,-7.67,0.69,-2.07,1.62,0.14,0.84,-16.67,1.24,1.24,908.13,14.37,-7.46,10.03,-0.19,3.83,-18.91,0.41,5.4,4.96,15.43,0.24,-69.31,3.71,123.9,56.24,-26.37,1.86,-32.07,369.27,36.89,50.2,-29.82,1.03,-10.98,0.93,9.67,0.17,-80.64,0.17,-78.06,62.34,0.23,-1.72,60.25
Jack Madgen,8.0,24.0,-20.1,6.67,13.34,20.92,3.0,9.0,-35.98,1.33,5.32,-35.12,1.67,1.67,161.35,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,14.67,-5.53,8.33,-17.11,5.33,12.85,0.33,-15.17,2.67,-37.86,0.33,-57.8,0.67,-59.57,87.07,14.0,2.33,-14.9,158.67,-41.18,82.97,15.99,0.33,-71.48,0.67,-20.99,0.0,-100.0,0.0,-100.0,53.33,-0.0,-15.93,53.33
