,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.kickins W Mean,extendedStats.kickins Scalar,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Western Bulldogs,8.05,24.15,-19.83,3.54,7.08,-24.9,5.44,16.32,4.09,1.02,4.08,-36.01,0.63,0.63,-7.22,0.57,-1.71,-9.95,0.03,0.18,-64.71,0.06,0.06,-9.09,11.59,-21.45,7.27,-17.56,4.06,-13.89,0.92,17.2,4.52,1.76,0.14,-69.5,0.84,-28.27,76.24,2.06,2.44,-27.19,179.77,-29.41,74.71,2.63,2.83,42.43,1.18,12.06,0.14,-89.16,0.14,-87.85,51.03,5.79,-16.55,50.79
Fremantle,10.4,31.2,3.5,4.37,8.74,-7.22,5.88,17.64,12.47,1.49,5.96,-6.64,0.54,0.54,-20.47,0.75,-2.25,18.86,0.11,0.66,30.95,0.04,0.04,-38.46,14.77,0.07,9.5,7.7,4.16,-11.75,0.77,-2.41,5.12,15.26,0.3,-34.64,1.04,-11.19,74.87,0.2,3.2,-4.68,239.72,-5.93,74.16,1.85,1.61,-19.01,0.89,-15.48,1.35,4.33,1.05,-9.17,62.67,1.1,2.44,62.53
